Date,Gia_vang,Gia_dau,Chi_so_bien_dong,Ty_gia_USD_VND,Gia_vang_the_gioi,Lai_suat_%,So_nguoi_mua,So_nguoi_ban,Gia_vang_tg
2025-09-04 04:00:00+00:00,3565.800049,63.47999954,15.30000019,26365,326.6900024,0.4,3741,1258,3266.900024
2025-09-04 23:00:00+00:00,3565.800049,63.47999954,15.30000019,26360,326.6900024,0.4,3741,1258,3266.900024
2025-09-05 04:00:00+00:00,3613.199951,61.86999893,15.18000031,26360,331.0499878,0.4,3527,1472,3310.499878
2025-09-07 23:00:00+00:00,3613.199951,61.86999893,15.18000031,26375,331.0499878,0.4,3527,1472,3310.499878
2025-09-08 04:00:00+00:00,3638.100098,62.25999832,15.10999966,26375,334.8200073,0.4,3343,1656,3348.200073
2025-09-08 23:00:00+00:00,3638.100098,62.25999832,15.10999966,26385,334.8200073,0.4,3343,1656,3348.200073
2025-09-09 04:00:00+00:00,3643.300049,62.63000107,15.03999996,26385,334.0599976,0.4,3380,1619,3340.599976
2025-09-09 23:00:00+00:00,3643.300049,62.63000107,15.03999996,26360,334.0599976,0.4,3380,1619,3340.599976
2025-09-10 04:00:00+00:00,3643.600098,63.66999817,15.35000038,26360,335.2600098,0.4,3321,1678,3352.600098
2025-09-10 23:00:00+00:00,3643.600098,63.66999817,15.35000038,26370,335.2600098,0.4,3321,1678,3352.600098
2025-09-11 04:00:00+00:00,3636.899902,62.36999893,14.71000004,26370,334.7600098,0.4,3346,1653,3347.600098
2025-09-11 23:00:00+00:00,3636.899902,62.36999893,14.71000004,26375,334.7600098,0.4,3346,1653,3347.600098
2025-09-12 04:00:00+00:00,3649.399902,62.68999863,14.76000023,26375,335.4200134,0.4,3313,1686,3354.200134
2025-09-14 23:00:00+00:00,3649.399902,62.68999863,14.76000023,26355,335.4200134,0.4,3313,1686,3354.200134
2025-09-15 04:00:00+00:00,3682.199951,63.29999924,15.68999958,26355,338.9100037,0.4,3143,1856,3389.100037
2025-09-15 23:00:00+00:00,3682.199951,63.29999924,15.68999958,26355,338.9100037,0.4,3143,1856,3389.100037
2025-09-16 04:00:00+00:00,3688.899902,64.51999664,16.36000061,26355,339.5899963,0.4,3109,1890,3395.899963
2025-09-16 23:00:00+00:00,3688.899902,64.51999664,16.36000061,26381,339.5899963,0.4,3109,1890,3395.899963
2025-09-17 04:00:00+00:00,3681.800049,64.05000305,15.72000027,26381,336.9700012,0.4,3238,1761,3369.700012
2025-09-17 23:00:00+00:00,3681.800049,64.05000305,15.72000027,26340,336.9700012,0.4,3238,1761,3369.700012
2025-09-18 04:00:00+00:00,3643.699951,63.56999969,15.69999981,26340,335.6199951,0.4,3304,1695,3356.199951
2025-09-18 23:00:00+00:00,3643.699951,63.56999969,15.69999981,26355,335.6199951,0.4,3304,1695,3356.199951
2025-09-19 04:00:00+00:00,3671.5,62.68000031,15.44999981,26355,339.1799927,0.4,3129,1870,3391.799927
2025-09-21 23:00:00+00:00,3671.5,62.68000031,15.44999981,26355,339.1799927,0.4,3129,1870,3391.799927
2025-09-22 04:00:00+00:00,3740.699951,62.63999939,16.10000038,26355,345.0499878,0.4,2842,2157,3450.499878
2025-09-22 23:00:00+00:00,3740.699951,62.63999939,16.10000038,26395,345.0499878,0.4,2842,2157,3450.499878
2025-09-23 04:00:00+00:00,3780.600098,63.40999985,16.63999939,26395,346.4599915,0.4,2773,2226,3464.599915
2025-09-23 23:00:00+00:00,3780.600098,63.40999985,16.63999939,26395,346.4599915,0.4,2773,2226,3464.599915
2025-09-24 04:00:00+00:00,3732.100098,64.98999786,16.18000031,26395,343.3200073,0.4,2927,2072,3433.200073
2025-09-24 23:00:00+00:00,3732.100098,64.98999786,16.18000031,26395,343.3200073,0.4,2927,2072,3433.200073
2025-09-25 04:00:00+00:00,3736.899902,64.98000336,16.73999977,26395,344.75,0.4,2857,2142,3447.5
2025-09-25 23:00:00+00:00,3736.899902,64.98000336,16.73999977,26380,344.75,0.4,2857,2142,3447.5
2025-09-26 04:00:00+00:00,3775.300049,65.72000122,15.28999996,26380,346.7399902,0.4,2760,2239,3467.399902
2025-09-28 23:00:00+00:00,3775.300049,65.72000122,15.28999996,26385,346.7399902,0.4,2760,2239,3467.399902
2025-09-29 04:00:00+00:00,3820.899902,63.45000076,16.12000084,26385,352.4599915,0.4,2480,2519,3524.599915
2025-09-29 23:00:00+00:00,3820.899902,63.45000076,16.12000084,26414,352.4599915,0.4,2480,2519,3524.599915
2025-09-30 04:00:00+00:00,3840.800049,62.36999893,16.28000069,26414,355.4700012,0.4,2332,2667,3554.700012
2025-09-30 23:00:00+00:00,3840.800049,62.36999893,16.28000069,26425,355.4700012,0.4,2332,2667,3554.700012
2025-10-01 04:00:00+00:00,3867.5,61.77999878,16.29000092,26425,356.0299988,0.4,2305,2694,3560.299988
2025-10-01 23:00:00+00:00,3867.5,61.77999878,16.29000092,26405,356.0299988,0.4,2305,2694,3560.299988
2025-10-02 04:00:00+00:00,3839.699951,60.47999954,16.62999916,26405,354.7900085,0.4,2366,2633,3547.900085
2025-10-02 23:00:00+00:00,3839.699951,60.47999954,16.62999916,26393,354.7900085,0.4,2366,2633,3547.900085
2025-10-03 04:00:00+00:00,3880.800049,60.88000107,16.64999962,26393,357.6400146,0.4,2226,2773,3576.400146
2025-10-05 23:00:00+00:00,3880.800049,60.88000107,16.64999962,26375,357.6400146,0.4,2226,2773,3576.400146
2025-10-06 04:00:00+00:00,3948.5,61.68999863,16.37000084,26375,364.3800049,0.4,1896,3103,3643.800049
2025-10-06 23:00:00+00:00,3948.5,61.68999863,16.37000084,26340,364.3800049,0.4,1896,3103,3643.800049
2025-10-07 04:00:00+00:00,3976.600098,61.72999954,17.23999977,26340,366.2600098,0.4,1804,3195,3662.600098
2025-10-07 23:00:00+00:00,3976.600098,61.72999954,17.23999977,26340,366.2600098,0.4,1804,3195,3662.600098
2025-10-08 04:00:00+00:00,4043.300049,62.54999924,16.29999924,26340,372.2999878,0.4,1509,3490,3722.999878
2025-10-08 23:00:00+00:00,4043.300049,62.54999924,16.29999924,26335,372.2999878,0.4,1509,3490,3722.999878
2025-10-09 04:00:00+00:00,3946.300049,61.50999832,16.43000031,26335,365.4299927,0.4,1845,3154,3654.299927
2025-10-09 23:00:00+00:00,3946.300049,61.50999832,16.43000031,26346,365.4299927,0.4,1845,3154,3654.299927
2025-10-10 04:00:00+00:00,3975.899902,58.90000153,21.65999985,26346,369.1199951,0.4,1665,3334,3691.199951
2025-10-12 23:00:00+00:00,3975.899902,58.90000153,21.65999985,26310,369.1199951,0.4,1665,3334,3691.199951
2025-10-13 04:00:00+00:00,4108.600098,59.49000168,19.03000069,26310,378.0899963,0.4,1226,3773,3780.899963
2025-10-13 23:00:00+00:00,4108.600098,59.49000168,19.03000069,26325,378.0899963,0.4,1226,3773,3780.899963
2025-10-14 04:00:00+00:00,4138.700195,58.70000076,20.80999947,26325,380.7900085,0.4,1094,3905,3807.900085
2025-10-14 23:00:00+00:00,4138.700195,58.70000076,20.80999947,26343,380.7900085,0.4,1094,3905,3807.900085
2025-10-15 04:00:00+00:00,4176.899902,58.27000046,20.63999939,26343,387.3900146,0.4,1000,4228,3873.900146
2025-10-15 23:00:00+00:00,4176.899902,58.27000046,20.63999939,26315,387.3900146,0.4,1000,4228,3873.900146
2025-10-16 04:00:00+00:00,4280.200195,57.45999908,25.30999947,26315,396.4500122,0.4,1000,4672,3964.500122
2025-10-16 23:00:00+00:00,4280.200195,57.45999908,25.30999947,26310,396.4500122,0.4,1000,4672,3964.500122
2025-10-17 04:00:00+00:00,4189.899902,57.54000092,20.78000069,26310,388.9899902,0.4,1000,4307,3889.899902
2025-10-19 23:00:00+00:00,4189.899902,57.54000092,20.78000069,26337,388.9899902,0.4,1000,4307,3889.899902
2025-10-20 04:00:00+00:00,4336.399902,57.52000046,18.22999954,26337,403.1499939,0.4,1000,5000,4031.499939
2025-10-20 23:00:00+00:00,4336.399902,57.52000046,18.22999954,26330,403.1499939,0.4,1000,5000,4031.499939
2025-10-21 04:00:00+00:00,4087.699951,57.81999969,17.87000084,26330,377.2399902,0.4,1267,3732,3772.399902
2025-10-21 23:00:00+00:00,4087.699951,57.81999969,17.87000084,26333,377.2399902,0.4,1267,3732,3772.399902
2025-10-22 04:00:00+00:00,4044.399902,58.5,18.60000038,26333,377.2799988,0.4,1265,3734,3772.799988
2025-10-22 23:00:00+00:00,4044.399902,58.5,18.60000038,26345,377.2799988,0.4,1265,3734,3772.799988
2025-10-23 04:00:00+00:00,4125.5,61.79000092,17.29999924,26345,378.7900085,0.4,1191,3808,3787.900085
2025-10-23 23:00:00+00:00,4125.5,61.79000092,17.29999924,26312,378.7900085,0.4,1191,3808,3787.900085
2025-10-24 04:00:00+00:00,4118.399902,61.5,16.37000084,26312,377.519989,0.4,1254,3745,3775.19989
2025-10-27 00:00:00+00:00,4118.399902,61.5,16.37000084,26280,377.519989,0.4,1254,3745,3775.19989
2025-10-27 04:00:00+00:00,4001.899902,61.31000137,15.78999996,26280,367.0100098,0.4,1768,3231,3670.100098
2025-10-28 00:00:00+00:00,4001.899902,61.31000137,15.78999996,26280,367.0100098,0.4,1768,3231,3670.100098
2025-10-28 04:00:00+00:00,3966.199951,60.15000153,16.42000008,26280,364.3800049,0.4,1896,3103,3643.800049
2025-10-29 00:00:00+00:00,3966.199951,60.15000153,16.42000008,26308,364.3800049,0.4,1896,3103,3643.800049
2025-10-29 04:00:00+00:00,3983.699951,60.47999954,16.92000008,26308,363,0.4,1964,3035,3630
2025-10-30 00:00:00+00:00,3983.699951,60.47999954,16.92000008,26335,363,0.4,1964,3035,3630
2025-10-30 04:00:00+00:00,4001.300049,60.56999969,16.90999985,26335,370.1300049,0.4,1615,3384,3701.300049
2025-10-31 00:00:00+00:00,4001.300049,60.56999969,16.90999985,26315,370.1300049,0.4,1615,3384,3701.300049
2025-10-31 04:00:00+00:00,3982.199951,60.97999954,17.44000053,26315,368.1199951,0.4,1713,3286,3681.199951
2025-11-03 00:00:00+00:00,3982.199951,60.97999954,17.44000053,26310,368.1199951,0.4,1713,3286,3681.199951
2025-11-03 05:00:00+00:00,4000.300049,61.04999924,17.17000008,26310,368.7799988,0.4,1681,3318,3687.799988
